category,text
Carpenter,"Constructing the structural framework of buildings, including walls, floors, and roofs."
Carpenter,"Building and installing cabinets for kitchens, bathrooms, and other storage spaces."
Carpenter,"Installing trim, such as baseboards, crown molding, and wainscoting, to add decorative elements to a space."
Carpenter,"Installing and repairing doors and windows, including frames, casings, and hardware."
Carpenter,"Installing various types of flooring, such as hardwood, laminate, or tile."
Carpenter,Building and repairing decks and fences for outdoor spaces.
Carpenter,Constructing built-in shelves and storage units to maximize space.
Carpenter,"Working on the structural components of roofs, including rafters and trusses."
Carpenter,Installing or repairing exterior siding on buildings.
Carpenter,"Crafting custom furniture pieces, such as tables, chairs, and cabinets."
Carpenter,"Assisting in home remodeling projects, which may involve structural changes and improvements."
Carpenter,"Repairing damaged or worn-out wooden structures, including doors, windows, and furniture."
Carpenter,Constructing and installing stairs and railings for indoor or outdoor spaces.
Carpenter,"Creating custom frames for artwork, mirrors, or other decorative items."
Carpenter,Restoring historical or antique wooden structures and furniture.
Carpenter,Installing wooden structures for insulation purposes.
Carpenter,"Building outdoor structures such as pergolas, gazebos, and playhouses."
Carpenter,Adding decorative trim and molding to enhance the aesthetic appeal of a space.
Carpenter,Undertaking unique woodworking projects based on client specifications.
Bricklayer,"Construction of walls, buildings, and structures using bricks or blocks."
Bricklayer,"Building walls or structures using concrete blocks, known as blocklaying or block laying."
Bricklayer,"Working with various masonry materials, such as stone or concrete, to construct walls, facades, and other structures."
Bricklayer,Laying the foundation for buildings using bricks or blocks.
Bricklayer,Building new chimneys or repairing existing ones using bricks.
Bricklayer,"Installing brick or block paving for driveways, walkways, patios, and other outdoor surfaces."
Bricklayer,Building retaining walls to support soil and prevent erosion.
Bricklayer,Constructing indoor or outdoor fireplaces using bricks.
Bricklayer,Creating decorative archways or pillars as architectural features.
Bricklayer,Applying a layer of bricks as a veneer over an existing structure for decorative purposes.
Bricklayer,Restoring and repairing historic brickwork or masonry structures.
Bricklayer,Installing expansion joints in brick or block walls to accommodate movement and prevent cracking.
Bricklayer,Filling gaps between bricks or blocks with mortar (pointing) and applying grout to strengthen structures.
Bricklayer,Cutting bricks to specific sizes or shapes to fit particular design requirements.
Bricklayer,Applying waterproofing solutions to brickwork to protect against moisture and water damage.
Bricklayer,Building walls to mark property boundaries.
Bricklayer,Working with concrete blocks or bricks in conjunction with concrete for various construction projects.
Bricklayer,Constructing outdoor ovens or barbecues using bricks.
Bricklayer,Building exterior facades using bricks or blocks.
Plasterer,Applying plaster to interior walls to create a smooth finish.
Plasterer,Coating ceilings with plaster to achieve a finished and uniform appearance.
Plasterer,Installing plasterboard (drywall) on walls and ceilings as a base for plaster application.
Plasterer,Applying a thin layer of plaster (skim coat) over existing walls or ceilings to create a smooth surface.
Plasterer,Repairing damaged or cracked plaster by patching and reapplying a new layer of plaster.
Plasterer,Adding decorative textures to walls or ceilings using various plastering techniques.
Plasterer,Installing decorative cornices or moldings on walls and ceilings for aesthetic appeal.
Plasterer,Applying a thicker coat of plaster (render) to exterior walls for weather protection and an attractive finish.
Plasterer,"Applying a polished plaster technique, such as Venetian plaster, for a smooth and glossy finish."
Plasterer,Creating decorative plaster surrounds for fireplaces.
Plasterer,Applying specialized plaster products to improve sound insulation in walls and ceilings.
Plasterer,Repairing plaster damaged by water leaks or moisture.
Plasterer,"Creating decorative plaster elements, such as medallions, niches, or custom designs."
Plasterer,Applying specialized exterior plaster systems for improved insulation and weather resistance.
Plasterer,Constructing partition walls using plasterboard and finishing with plaster.
Plasterer,"Creating plaster arches, columns, or other architectural features."
Plasterer,Finishing basement walls and ceilings with plaster for a polished look.
Plasterer,"Applying stucco, a type of plaster, to exterior surfaces for a textured finish."
Plasterer,Applying plaster with damp-proofing properties to prevent moisture penetration.
Tiler,"Installing tiles on floors in various spaces, including kitchens, bathrooms, hallways, and living areas."
Tiler,"Applying tiles to walls for decorative or functional purposes in areas such as kitchens, bathrooms, and feature walls."
Tiler,Installing tiles on the backsplash area behind kitchen countertops for both protection and aesthetic appeal.
Tiler,"Tiling showers, bathtub surrounds, and bathroom floors for water resistance and visual appeal."
Tiler,Creating tiled niches or shelves within shower areas for storage or decorative purposes.
Tiler,Repairing or replacing damaged or cracked tiles to restore the appearance and functionality of a tiled surface.
Tiler,"Tiling outdoor spaces such as patios, balconies, or pool surrounds for durability and aesthetics."
Tiler,"Laying tiles as outdoor paving for pathways, driveways, or other paved surfaces."
Tiler,Applying grout between tiles to fill gaps and provide stability and a finished appearance.
Tiler,"Cutting tiles to fit specific spaces, creating custom shapes, or working around obstacles."
Tiler,Installing underfloor heating systems beneath tiled surfaces for added comfort.
Tiler,"Applying waterproofing membranes or sealants in areas where tiles are installed, such as bathrooms and wet rooms."
Tiler,"Sealing tiles, especially natural stone tiles, to protect them from stains and damage."
Tiler,Creating feature walls with decorative or patterned tiles to enhance the aesthetic appeal of a space.
Tiler,Installing mosaic tiles for intricate and decorative patterns in various spaces.
Tiler,"Tiling surfaces in commercial spaces such as restaurants, offices, and retail stores."
Tiler,Installing tiles on kitchen or bathroom countertops for a durable and easy-to-clean surface.
Tiler,"Cleaning and maintaining tiled surfaces, including regrouting and removing stains."
Tiler,Creating decorative tiled surrounds for fireplaces.
Concreter,"Pouring and finishing concrete slabs for foundations, floors, driveways, and pathways."
Concreter,Installing and finishing concrete driveways for residential or commercial properties.
Concreter,Creating pathways and walkways using concrete for functional and aesthetic purposes.
Concreter,Constructing outdoor patios and decks using concrete for durability and a modern look.
Concreter,"Applying stamping patterns to freshly poured concrete to mimic the appearance of materials like brick, stone, or tile."
Concreter,Building retaining walls using concrete for landscaping and structural purposes.
Concreter,Constructing steps or stairs using concrete for both indoor and outdoor applications.
